start	end	text
0	8000	Okay, in terms of calls, generally when I need pricing urgently, I'll call the relevant supplier for the equipment.
8000	16000	As this generates the pricing or costing verbally via the call, it works out a lot faster in that route.
16000	24000	If it's not urgent, I generally email and then we follow up later on during the course of the day or the very next day.
24000	34000	So top three suppliers for valves, we're looking at valve specialist, MAC, Fluid, also EMV Africa.
34000	44000	And in this context too, it all depends what sort of valve, because each supplier has different unique suppliers of valves for themselves.
44000	54000	Also for the hydraulics, I look at mainly one supplier, hydro systems, as they generally are very knowledgeable and they give me one of the best prices.
54000	62000	But also in the same context, they don't do hydraulic filtration systems, they don't do hydraulic quick couplers.
62000	67000	So this I have to get from a different supplier, which is hydro sales.
67000	77000	Suppliers I wish I had, obviously this generally comes up only when it's equipment that I haven't dealt with.
77000	86000	Most of the equipment I deal with is all familiar to me, so I don't think I have any supplies I would want to put on as yet.
