start	end	text
0	11200	show me show me show me you just sent you it's working fine you just sent me an
11200	17400	email just now I attached it in an email where you were saying you are
17400	22720	building the database for me and I am just asking you to not send it to my
22720	27240	email because you are not building the database for me you are building it for
27240	33640	my husband I have sent to my husband's email I said just send it to him the same
33640	38040	way you just did few minutes ago hasn't even been like 10 minutes since you
38040	43280	did you done that you can then come back and tell me it's not working it makes
43280	48360	no sense unless you are just trying to chow my tokens and frustrate me by
48360	54960	send packing of which I'm not gonna play that game please send this email to my
54960	61320	husband's email kgengineeringpumps at jmail.com
