start	end	text
0	7600	Okay, so KG Engineering is a specialist company that services your manufacturing industries,
7600	15800	your agricultural industries, anything to do with repairs and maintenance of valves, pneumatics,
15800	24880	hydraulics, boilers, LPG gas lines, all industrial aspects of your manufacturing process.
24880	32320	We can assist with supply of material, installation of material and also refurbishment of material.
32320	38200	Inquiries are generated via site visits mainly, but obviously we would still like to look
38200	41560	into websites and referrals.
41560	48440	So what eats up most of my time is invoicing statements and also following up on quotations
48440	56280	from suppliers as this is very time-consuming calls, emails, regularly, WhatsApps as well
56280	64160	to suppliers, then also follow-ups to clients regarding quotes submitted and projects submitted
64160	66840	as well.
66840	71760	Things that frustrate me the most would be not issuing out statements and invoices
71760	78480	on time as this eats away cash flow and it's always delayed on my side as there's quite
78480	81280	a bit going on in the background.
81280	88600	So the software that I currently use now is Zoho invoicing software and also WhatsApp
88600	90760	for client.
90760	94920	Clients contact me directly via WhatsApp if they need me to come to site or even quote
94920	101120	on items they are fully understood about what they require.
101120	107320	Usually a typical job goes like this, we go to site, we generate the inquiry, we come
107320	112520	back, we do research, if research is needed on items that we are not familiar with, we
112520	117600	quote and then we either supply or we onsite with the installation work.
